Genre,Ranks,Product,Author,Links,Price,Rating,Reviews
All,1,The Psychology of Money,Morgan Housel,https://amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_1/259-4875650-4938338?pd_rd_i=9390166268&psc=1,285.00,4.6,"31,568"
All,2,Atomic Habits: The life-changing million copy bestseller,James Clear,https://amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_2/259-4875650-4938338?pd_rd_i=1847941834&psc=1,520.00,4.6,"38,604"
All,3,Word Power Made Easy,Norman Lewis,https://amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_books_3/259-4875650-4938338?pd_rd_i=0143424688&psc=1,98.00,4.4,"37,007"
All,4,Oswaal CBSE Term 2 English Science Social Science & Math Standard Class 10 Sample Question Paper (Set of 4 Books) (For Term-2 2022 Exam) Free Access Code For Oswaal 360,Oswaal Editorial Board,https://amazon.in/Oswaal-English-Science-Standard-Question/dp/9354639941/ref=zg_bs_books_4/259-4875650-4938338?pd_rd_i=9354639941&psc=1,398.00,4.6,NA
All,5,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",Sudha Murty,https://amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_5/259-4875650-4938338?pd_rd_i=0143333623&psc=1,155.00,4.6,NA
All,6,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,https://amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194/ref=zg_bs_books_6/259-4875650-4938338?pd_rd_i=1612680194&psc=1,302.00,4.6,"57,471"
All,7,Ikigai: The Japanese secret to a long and happy life,Héctor García,https://amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_7/259-4875650-4938338?pd_rd_i=178633089X&psc=1,401.00,4.6,"31,295"
All,8,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,https://amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_8/259-4875650-4938338?pd_rd_i=9387779262&psc=1,606.00,4.5,"48,781"
All,9,27 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2021) 12th Edition,Mrunal Patel,https://amazon.in/Years-Prelims-Topic-wise-Solved-Papers/dp/9355640005/ref=zg_bs_books_9/259-4875650-4938338?pd_rd_i=9355640005&psc=1,335.00,4.5,NA
All,10,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",Maple Press,https://amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_books_10/259-4875650-4938338?pd_rd_i=9390292964&psc=1,189.00,4.4,"3,828"
All,11,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,https://amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026/ref=zg_bs_books_11/259-4875650-4938338?pd_rd_i=9352534026&psc=1,465.00,4.4,"24,682"
All,12,Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,https://amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_books_12/259-4875650-4938338?pd_rd_i=1846041244&psc=1,175.00,4.5,"40,265"
All,13,Mathematics for Class 10 - CBSE - by R.D. Sharma Examination 2022-23,R.D. Sharma,https://amazon.in/Mathematics-Class-10-Examination-2022-23/dp/B09SJ365JL/ref=zg_bs_books_13/259-4875650-4938338?pd_rd_i=B09SJ365JL&psc=1,535.00,4.3,110
All,14,DO EPIC SHIT,Ankur Warikoo,https://amazon.in/DO-EPIC-SHIT-Ankur-Warikoo/dp/9391165486/ref=zg_bs_books_14/259-4875650-4938338?pd_rd_i=9391165486&psc=1,297.00,4.5,"3,729"
All,15,"India that is Bharat: Coloniality, Civilisation, Constitution",J Sai Deepak,https://amazon.in/India-that-Bharat-Civilisation-Constitution/dp/9354352499/ref=zg_bs_books_15/259-4875650-4938338?pd_rd_i=9354352499&psc=1,499.00,4.8,"3,190"
All,16,Oswaal CBSE Term 2 Science Class 10 Sample Question Paper Book (For Term-2 2022 Exam),Oswaal Editorial Board,https://amazon.in/Oswaal-Science-Sample-Question-Term-2/dp/935463897X/ref=zg_bs_books_16/259-4875650-4938338?pd_rd_i=935463897X&psc=1,139.00,4.5,85
All,17,"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,https://amazon.in/MTG-Objective-NCERT-your-FINGERTIPS/dp/9391191789/ref=zg_bs_books_17/259-4875650-4938338?pd_rd_i=9391191789&psc=1,573.00,4.6,NA
All,18,The Power of Your Subconscious Mind,Joseph Murphy,https://amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_books_18/259-4875650-4938338?pd_rd_i=8194790832&psc=1,125.00,4.5,"51,460"
All,19,It Ends With Us: A Novel: Volume 1,Colleen Hoover,https://amazon.in/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=zg_bs_books_19/259-4875650-4938338?pd_rd_i=1501110365&psc=1,159.00,4.6,"54,209"
All,20,"Educart Term 2 Class 10 Sample Papers Bundle of Science, Math Standard, Social Science & English Books For 2022 (Based on the CBSE Term-2 Subjective Sample Paper released on 14 Jan 2022) Edubook",Sanjiv Sir,https://amazon.in/Educart-Science-Standard-Subjective-released/dp/B09R1TPZW2/ref=zg_bs_books_20/259-4875650-4938338?pd_rd_i=B09R1TPZW2&psc=1,425.00,4.4,NA
All,21,Pankaj Ladha & Anant Ladha,Pankaj Ladha & Anant Ladha,https://amazon.in/Swing-Trading-Strategies-Pankaj-Invest/dp/9390542588/ref=zg_bs_books_21/259-4875650-4938338?pd_rd_i=9390542588&psc=1,299.00,NA,NA
All,22,CBSE All In One Social Science Class 10 2022-23 Edition,Madhumita Pattrea,https://amazon.in/CBSE-Social-Science-Class-2022-23/dp/9326193268/ref=zg_bs_books_22/259-4875650-4938338?pd_rd_i=9326193268&psc=1,494.00,4.6,NA
